,f1,i1,f2,i2,f3,i3,f4,i4
0,pos_lbl,0.3088840687089293,pos_lbl,0.31669419210584443,pos_lbl,0.3106813313703662,pos_lbl,0.3078954706515675
1,year,0.028058793371108583,year,0.025209707633470142,year,0.029127794388938893,year,0.028398722031658923
2,Dvec30,0.02172745077424919,Dvec25,0.022652324916602934,Dvec30,0.022173761395277325,Dvec30,0.022689210609320897
3,sec_lbl,0.019604119308980122,Dvec30,0.021174383708669156,Dvec12,0.022119819494828396,Dvec25,0.021093457364856145
4,Dvec25,0.018666414660762683,Dvec40,0.018266624490609045,Dvec25,0.02019436103979657,sec_lbl,0.020369876776105647
5,Dvec64,0.018254330044062295,Dvec61,0.017758545604103317,sec_lbl,0.01644982995559402,Dvec40,0.019628044873802368
6,Dvec40,0.016942540970632424,Dvec64,0.01746676996264394,Dvec91,0.016076268561661333,Dvec12,0.01813740061381759
7,Dvec12,0.015444403993696686,Dvec12,0.017356692660047246,Dvec40,0.015584077230906074,Dvec64,0.014683807441721503
8,Dvec82,0.01510296747640299,Dvec85,0.015127320961217623,Dvec82,0.014942477926020199,Dvec82,0.01425822269701662
9,Dvec91,0.01390760961750804,Dvec91,0.01468298702907026,単純,0.012152630245473089,Dvec85,0.01360434216915903
10,Dvec85,0.013543581655528453,Dvec33,0.014280341098743817,Dvec64,0.011687955148299326,Dvec37,0.012827394276186703
11,単純,0.012589934572790557,sec_lbl,0.01396241252587753,Dvec33,0.011282954809711126,Dvec57,0.012571610251228988
12,Dvec57,0.012387083907594897,Dvec57,0.013627302196016402,Dvec85,0.011008412178395363,Dvec33,0.012330581794934507
13,P(S)vec1,0.010609148013835338,Dvec88,0.012739938521142632,Dvec88,0.010709251686006541,Dvec91,0.011710707475091354
14,Dvec99,0.010401198516853153,単純,0.01137519054934591,Dvec41,0.01062908964099818,単純,0.011151438223627647
15,Dvec33,0.010036672429848481,Dvec7,0.010927158167087272,Dvec57,0.009798370571493315,Dvec99,0.010510522756583146
16,Dvec92,0.009704375449280038,Dvec92,0.010796200048855962,Dvec99,0.009781091952571543,Dvec88,0.010509621396242662
17,Dvec41,0.009488271682118982,Dvec99,0.00867502003902046,P(S)vec1,0.009736691011617542,Dvec13,0.010021350800501245
18,Dvec88,0.009158661500797798,P(S)vec1,0.008606569830154157,Dvec92,0.009184231177780035,P(S)vec1,0.009346445449990137
19,Dvec61,0.00908710666068358,Dvec21,0.008291215976162216,Dvec93,0.008621695305235412,Dvec29,0.009317278951237231
20,Dvec3,0.008653920241102623,Dvec37,0.0077040272704534405,Dvec29,0.00857376497337266,Dvec0,0.0089048621411671
21,Dvec68,0.008335036295133118,Dvec13,0.007558406623166122,Dvec21,0.00829653371839289,Dvec92,0.008337545554911755
22,Dvec6,0.007610693469546623,Dvec29,0.007096544354084849,Dvec63,0.008239955999470775,Dvec21,0.008301376318801266
23,Dvec90,0.007555442717176972,Dvec36,0.007046147241702709,Dvec61,0.007778416888333047,Dvec61,0.007473222888890566
24,Dvec29,0.007546658049422477,Dvec53,0.007043828717217109,Dvec13,0.0075507069839500065,Dvec3,0.007182982472355894
25,Dvec50,0.007483355087990144,P(S)vec2,0.006896924548074082,Dvec5,0.007545601003754149,Dvec8,0.007174551589926932
26,Dvec59,0.007205039438866968,Dvec3,0.00688824271673585,Dvec4,0.007461612233474532,Dvec59,0.007097514628662132
27,Dvec13,0.007163565679064315,Dvec41,0.006385634198441957,Dvec3,0.007257254669120633,Dvec10,0.007024488551733564
28,Dvec98,0.006913699796006801,Dvec44,0.006281667442509315,Dvec98,0.007173798766006038,Dvec36,0.006898639827746981
29,Dvec21,0.006842712525061156,Dvec68,0.006187850853357559,P(S)vec2,0.0069537509099598166,Dvec73,0.006866953910904594
